Title,Rating,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Company That Cares""",4.0," Aug 20, 2015",Current,Cashier,"Blacksburg, VA",Yes,Yes,Yes,,Less than a year,Invested in everything Chipotle stands for.,Stressful work environment and can be demanding hours.,
"""My Review""",3.0," Sep 3, 2015",Past,Cashier,"Annandale, VA",Yes,Neutral,Neutral,Full-time,Less than a year,good food that i like to eat,long lines that take forever,hire more people
"""Crew member (cross-trained)""",3.0," Sep 3, 2015",Past,Anonymous Employee,"Tampa, FL",No,Yes,Neutral,Part-time,Less than a year,"great people, clean efficient environment","limited work space, extremely fast paced, management wasn't smooth","Managers need to get along and work together to be efficient, TRAIN YOUR CREW."
"""Meh""",3.0," Sep 2, 2015",Current,Crew Member/Grill Cook,,Yes,Yes,Neutral,Part-time,,"The co workers were good, the breaks were paid and you got a free lunch. The pay was okay.",Overtime was a b-word. The employees re over worked and often understaffed.,`Please be honest
"""Great job for High School or College Students""",3.0," Sep 3, 2015",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Chipotle has a fun and fast paced atmosphere for customers and employees. The offered opportunities to grow within the company. The food is great, and all employees are taught how to prepare it fresh daily. Employees are given a free meal during their shift.","Mainly evening and weekend hours, not the best for a work-life balance. Also, pay was minimal and tips were not accepted.","Keep doing what you're doing, providing great food and great service. It's a great atmosphere for customers and employees."
"""Service Manager""",5.0," Aug 19, 2015",Current,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,Less than a year,"As a manager for almost a year, I have a decent amount of paid vacation accumulated already.",Chipotle becomes life so you better be ready for that.,
"""crew member""",4.0," Aug 18, 2015",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,Less than a year,"Great company culture, caring managers and coworkers, free meals and paid lunches, flexible scheduling, if you had an issue you could easily access any of the supervisors in a professional manner. It felt like family when I started working.",You are expected the know the ins and outs of the restaurant and be on the move 24/7. Managers want too much from you for what you get paid. It gets exhausting after awhile and I was always tired. Customers can be super awesome and some can be really rude and self-entitled for no reason.,You're doing everything right; just put a little less pressure on your crew.
"""Great place to work""",5.0," Aug 17, 2015",Current,Anonymous Employee,,Yes,Yes,Neutral,,More than 3 years,It's a great environment to work in. Amazing crew members and some of the nicest managers. I've really enjoyed myself working here.,"The pace can be pretty hectic at times. They really emphasize speed, so if you don't work well under those conditions, I wouldn't recommend working there.",I really don't have anything to say. I've had a wonderful experience working there. The managers are super fun and easy going.
"""Take Out Specialist""",5.0," Aug 17, 2015",Current,Cashier,"Houston, TX",Yes,Yes,Yes,,Less than a year,Wonderful first job experience. Always something new to learn. Teaches you high standards useful for any job in the restaurant industry. Great benefits for crew members. Paid breaks. Opportunities for growth in the company. Overall an awesome company to work for.,Back of the house can be physically demanding. Often under staffed. No major cons.,Continue empowering your employees and creating top performers. Promote employees that are truly dedicated.
"""I cry before work every day // Double standards and favoritism.""",2.0," Aug 23, 2015",Current,Cashier,,Yes,No,Neutral,Part-time,More than a year,"- Fair and balanced, in the beginning of my so far nearly two year career with them<br>- Both of my parents passed away and they made me feel like family, again, this was in the beginning<br>- I honestly have so few pros about working here, it's disheartening.","I have been a cashier for nearly all of the one year and eight months that I have worked at this Chipotle, the GM that held the restaurateur title soon moved on to greener pastures and the torch was passed off to someone else, and that was where everything began to fall apart.<br><br>I have always pushed myself to be the best and do my work and a little extra so that no one has to pick up after me, and over the past year the store is in shambles when I arrive. No matter how busy, or slow, I am always picking up the pieces that the other cashiers don't care to. From facing boxes,t o stocking, to even garbage cans. I am so swamped when I arrive that I, barely, get it all in place by the time that peak arrives. I have been yelled at by corporate for so much as being in the back, but how else am I going to make sure that it looks good, and things that we need like napkin boxes are open and ready for people to just grab as they pass by?<br><br>This leads me to the favoritism, and how I am treated when compared to the other cashiers that come through the store that day. I come into my shifts nearly forty minutes early, because I am so afraid that the place will be a wreck that I need the time to adjust, and mentally make a plan of action. I am constantly watching the morning or mid cashier just.. Standing, talking to customers for twenty minutes, or in the back having a powow with friends. This is allowed, not one person from management bats an eye, and when I ask for something to be done before I clock on, or for the previous cashier to check out and help me, I am greeted with sneers and a vanishing act, when I am looking away, or busy with something as simple as melting ice.<br><br>I am not the best, Chipotle has done its job to ensure that I have been beaten into the ground. I feel like I am taken advantage of. I long to see the light of morning cash shifts, but they are given to the people the managers sit in the office and talk to for forty minutes at a time, leaving myself and one other crew member utterly alone, and most of the time, swamped. They tell me what I want to hear, that II won't have to work closing cash(a shift that stresses me out so much, especially when I come in to a mid cash who absolutely does not care about me, that I cry before, during, and after), but turn around and schedule me for even more. They constantly take 'smoke breaks', or spend nearly a half an hour taking out the trash, but still, I am so terrified of not doing a good enough job, that I push myself to limits I never knew existed, and asking for help is a rarity.<br><br>They are favoritists, whoever pleases them the most gets their attention, aid, and preferential treatment with the schedule. From working nothing but nights the entire time I've been there, with a few morning cash thrown in, to requesting time months in advance so that I could attend an event to celebrate my fiances success in his career- They of course did not give it to me, and when I spoke to them, was told every day that they would 'work on it', up to the day before, leaving me to work the shift, dumbfounded, that I would be lied to for nearly a week, when they could have simply told me they did not care to even try to look at the schedule- A lie they tell me often.<br><br>We were late to a once in a lifetime event, Chipotle. And it was your fault.<br><br>Furthermore, an employee that used to work at the store, and had been through the restaurateur business returned, and on her first day, made it known that our standards had slipped, and took the time to point out, rather condescendingly, what we were doing wrong. For me, it was not seeing fast enough that II needed a bigger bag, or the marker tip being pushed in too far- She did not try to hide the fact that she regards us with an upturned nose. All of the managers could do nothing but talk about how good she is at her job, how her cash shift was perfect. I pick up shifts. I pick up slack. I work through every social anxiety I am plagued with to show up for work. I am constantly working nearly an hour late, because I hold myself to high standards, even when I am so overwhelmed from the lack of consideration from the rest of my cash team that I don't know whether I can show up to work the next day.<br><br>Management realized we were frustrated with how condescending the new coworker was, and pulled us all aside.. To tell us that she was right, that they needed to be harder on us. It opened a pandoras box of issues, and when approached with the feeling that one other cashier and I felt we were held to higher, impossible standards, while the rest got to do whatever they wanted to while they waited for me to arrive and do what they did not want to do, were told:<br><br>That sounds like a personal problem, and if we did not meet standards, our final checks could be ordered that second.<br><br>Do you know, how exhausting this is? I don't expect HR to understand, hiding behind their desks- Gosh, I can't even find the right HR number to call, I can only assume that people like Steve Ellis only care about success, and turn a blind eye to abuse and mistreatment.<br><br>This job is exhausting. This job is not worth the amount of money, or effort that I put in to it, But I show up every day because I am afraid to leave them a cashier short, especially when we have been so low on people for so very long,.<br><br>But I am beginning to feel like its an abusive relationship, like every time I want to get away, it pulls me back in with guilt, and a promise of change.<br><br>I am so burnt out, with no rainbow, or bright light on the horizon, and I am so tired of my voice not being heard.<br><br>Save yourself the dread, and the tears, and the defeat that I feel on a daily basis, and do not work here.",
"""Horrible Place To Work""",1.0," Sep 22, 2015",Current,Crew Member Front Line,"Houston, TX",No,Neutral,Neutral,Full-time,More than a year,"Free Lunch, 50% Discount, 30min Breaks","With this being my first job, it sucks! I'm suppose to be working part time but they're giving me full time hours. I have a daughter that goes to head start and I have to take her at 8 and pick her up by 3. My managers doesn't care about my availability throughout the week like I told them. I told them I can only work mornings from Monday-Friday &amp;&amp; on weekends I'm free. They didn't train me on anything except chips and chicken. On my first day they threw me on the line without telling me the right portions or where anything was. The co-workers was always in the back being unprofessional on their phones not helping me. They don't work with my schedule whatsoever. I would only start loving to work if they teach me how to roll a burrito and other important things and they will work with my schedule. Since I didn't really know anything, a lot of customers were pretty upset because of that. Thanks to the poor training they gave me.",Start caring about your employees private lives and work with their availability schedule. Start making sure your new employees get enough training and don't let them learn everything by themselves if your other employees gonna get mad about something not being right.
"""Take out specialist""",2.0," Sep 2, 2015",Past,Anonymous Employee,,No,No,Yes,Part-time,,"Pushing yourself everyday to do better, normally your co-workers are pretty awesome",Lots of cliques and upper management would rather get rid of you if you aren't working at break neck speed.,"Train managers better, lots of them are in relationships with each other so they will ignore their faults and blame other employees."
"""Crew/Kmit""",3.0," Aug 31, 2015",Past,Crew Member; Kitchen Manager,"Parma, OH",No,Neutral,Neutral,,Less than a year,Its a really positive encouraging environment,The standards are ridiculous. Gets overwhelming because there is never a slow momnt at chipotle.,Have some patience
"""Slavery for low pay!!!""",2.0," Aug 29, 2015",Past,FLORIDA,,No,No,Neutral,Full-time,More than 10 years,Good benefits and discounts for employees,Slavery to much work for not enough pay.. No understanding with management... all co workers think they are managers too,You need to do your work not let employees think they are managers
"""Favoritism from top to bottom""",1.0," Sep 21, 2015",Past,Manager,"Chicago, IL",No,No,Neutral,Full-time,More than 3 years,Good benefits...... But under a high price<br>If u know someone u can get hire easily .....<br>….....................,"The years I was with the company I prescience many favoritism in all people a lot of romance going on in order for u to never up u have to be a kiss $&amp;#% if u want to get promoted loop Chicago has the highest turnover and people don't live for the beliefs of the company they leave because the wrong directors in charge even if you call HR they don't do nothing about. In general if u apply u better grown if not u will be fire !!!! There is no Job security Managers from the outside are hire with the wrong perspective if U are a manager in chipotle u have to work as crew + run a great labor+ and develop in 10 hrs a day that can turn into 12-14 upper manager don't care about ""people culture "" that just care about their own good as long they continuo getting promote.<br>Bonus and salary are not promising u have to be a super man..... Most of the upper managers don't have the full knowledge of business !!!! Some doesn't even have HS diploma .....<br>At the end when u don't work out for them no mere they will make ur life miserable for u to leave if not they will find any excuse to let u go ..... Funny thing is that since is lots oh gossip u find out sooner.","If u want to make the company successful stop threatening people as machines.<br>They will brainwashed u with a career and ""long term""<br>Thru is u last longer as crew than manager be realistic nobody has previous mgr experience to display it like they have a degree on it !!!<br>And to end up too much for the pay they hire u to be a manager not to be a mom dad psychology that is a life stress......"
"""Hard Work""",4.0," Aug 16, 2015",Current,Crew Member,"Las Vegas, NV",Yes,Yes,Yes,Full-time,,"Work with a great team, Great food, Established, and you can rank up quickly",Challenging and you need work under pressure,
"""Very poor upper management hurts an otherwise decent company.""",3.0," Aug 26, 2015",Past,Service Manager,"Greensboro, NC",No,Neutral,Neutral,Part-time,,The food is good when properly made and the ingredients are fresh and high quality.,"Managing by the ""buddy, buddy system"" while passing over more proven and talented workers. Can't keep good people doing that!","Allowing GM's to promote their less talented friends without input from the crew undermines the crew, the store and the GM. Upper management allows poor GM decision making to go unchecked and everyone suffers for it. Too many unqualified GM's!"
"""It's ok""",4.0," Aug 15, 2015",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,Less than a year,You have chance to move forward. The environment might be very friendly. Free meal per shift is the best.,They rush everything. The management isn't held to the same standards. You'll be told you're slow on daily basis,Speed comes with time and practice. Telling your employees you're slow won't speed things up
"""Good place to work""",4.0," Aug 15, 2015",Current,Anonymous Employee,,Yes,Neutral,Yes,Part-time,More than a year,Good place to work. Nice people. You get to interact with customers and do plenty of behind the scenes.,You have to like working in the food industry and so can't mind smelling like the food. Not too bad though.,
"""Was great...but...""",3.0," Aug 28, 2015",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,"Amazing people, coworkers and customers, very team oriented.",Word speaks louder than actions.,
"""TERRIABLE""",2.0," Aug 24, 2015",Past,Prep/Grill,"Wadsworth, OH",No,No,Neutral,,Less than a year,Free Food and Flexible work schedule that's it!!!!!,"well lets see I worked there close to a year and started on prep which most do or line. if you start on line your making free money because all you do is stand there and scoop food and flip pans for 8 hours, prep your constantly cleaning, cooking with grill for rush, cutting vegtables which really hurts your hand at the end of the day way more work than the 9 dollars an hour. I got moved to grill which is technically a higher position but of course chipotles cheap $$$ offers no compensation for the extra work of lift cooking and burning yourself and you will burn yourself because the one I was at is not osha certified and breaking your back lifting 60 pound rice pots over your chest...chipotle is so fake its comical they tell you $$$$ about being a top performer which means do everybodies job for them without using common sence and using chipotle methods..... You have to follow every rule to the T or youll get $$$$$ out and don't hope to get a rais cause that aint gonna happen. my coworkers were the only reason I stayed there so long. $$$$$$ chipotle and there greedy $$$ find out for yourself I gross and terriable this place is. I refuse to return there and will never buy food from them. Ps after a month youll start packing your own lunch cause everything you eat there taste the same from burrito to tacos to salad lol Yea putting a little bit of square cut lettuce at the bottom of a bowl with all the ingrediants that make up a burrito including sourcream and cheese doesn't make it a $$$$$$$ salad makes fat people feel better about themselves",
"""janitor""",5.0," Aug 9, 2015",Current,Janitor,"Austin, TX",Yes,Yes,Yes,Part-time,,nice facility treated fairly with respect,there are not many cons to the company,n/a
"""working""",4.0," Aug 13, 2015",Current,Anonymous Employee,,Yes,Neutral,Yes,Part-time,,"If chef pretty hard but front line is very easy, I got very low hours idk but have very good pay",Being a cook is hard I didn't like it I got like 4 hours a week I really didn't enjoy it.,Make sure to give workers more hours please and know how much they are gonna work before u hire them
"""Chipotle isn't as great as it sounds""",1.0," Sep 16, 2015",Past,Crew Member,"Indiana, PA",No,Neutral,Yes,Full-time,,Free Food<br>50% off when not working<br>Great benefits,Doesn't train properly<br>Fires people for no reason/ doesn't give reason why<br>Plays favorites<br>Some managers shouldn't be managers,Actually follow through with the vision/mission statement and don't ignore certain procedures
"""General Manager""",4.0," Aug 11, 2015",Current,Anonymous Employee,,No,No,Neutral,Part-time,More than a year,Lots of opportunity to advance.,Same thing every day ha.,gotta rock it
"""eh...""",4.0," Aug 11, 2015",Past,Anonymous Employee,,Neutral,Neutral,Neutral,,Less than a year,"free burritos. decent pay. advancement from what i could tell. it looked like a good job to have at a young age i wouldn't consider anything more. ^^""",they said i didn't smile enough and when i did we got complaints because it looked creepy -_-,a higher wage is always nice. allow your employees to take a burrito home. you offer a free meal every day but you force us to eat it at your establishment some of us have young ones and family at home.
"""Meh""",2.0," Aug 25, 2015",Current,Anonymous Employee,,Neutral,Neutral,Yes,Part-time,,free food<br>laid back<br>fun sometimes<br>margaritas are good,customers are rude<br>not paid enough<br>management is not great,
"""Review""",3.0," Aug 24, 2015",Past,Crew Member,"Hollywood, FL",No,No,Neutral,,Less than a year,Free food on the clock. 50% Off off the clock. Employees get along with each other.,Hard work. Sometimes feels that the pay is not worth the work. Unorganized as a company. Managers have major favoritism.,
"""Grill cook""",2.0," Aug 23, 2015",Current,Grill/Prep Cook,"Providence, RI",No,Neutral,Neutral,,More than a year,A fun crew to work with. Reliable amount of hours given each week. Fast paced environment.,The work that is expected of each employee compared to the pay being given is unfair.,Pay your employees more. Get a bigger restaurant. Destroy the corporate leaders.
"""Chipotle Crew""",3.0," Aug 23, 2015",Past,Crew Member,"Lafayette, LA",Yes,Neutral,Neutral,Part-time,,You get along with the people you work with.,You really have to work really hard. It seems 9 dollar isn't enough.,
"""Good company, not enough training""",3.0," Aug 23, 2015",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,Good benefits<br>Free food<br>Good starting pay,They promote training but there is none,"Instead of just letting the employee hop on the line, identity each part of the restaurant and give them a heads up on how it works"
"""Great""",4.0," Aug 7, 2015",Current,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,More than a year,Great place to work at,Low staff most of the time,
"""Do not apply if you don't do well under pressure.""",3.0," Aug 20, 2015",Current,Take Out Specialist,,No,No,Yes,Full-time,,The company values are wonderful. They are supporting and encourage their team for advancement. Everyone is willing to help you improve on any task and each employee is presented the same opportunities if they meet the proper standards.,"There's more to this job than rolling burritos, which is actually easier said than done. Each employee is expected to meet Chiptole's standards while also moving the line as quickly as possible and making sure that every customer leaves happy. Unless you are applying to an already Restrauteur location this is extremely difficult. I have worked for the company for two years and have to say that we have a rather large turnover in employees simply because they can not keep up with the pace and pressure after a while. I would advise anyone who is thinking of applying to be sure that they can handle high customer volumes for extended periods of time (sometimes a few hours at a time) and that they thrive under pressure.","The management team is really approachable and friendly but sometimes lack communication. It can get confusing when you have a GM, a service manager and a KM all telling you to do something different."
"""Pros&Cons""",3.0," Aug 21, 2015",Current,Anonymous Employee,,No,Neutral,Neutral,Full-time,,They had good hours bad work ethnics but they did make sure you have a full schedule giving o.t rewards to certain workers .,While my year and a half of working for Chipotle you come to realize it is very segregated and they show favoritism to a certain ethnicity.,Work on the team communication building and work on being more open to new ideas and being less segregated for the sake of the emlpoyees and the restaurant.
"""Great Place to Work""",5.0," Aug 5, 2015",Current,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,More than a year,I like how we all work as a team. Very high energy and great organization.,I don't have anything bad to say it's a great company.,
"""ok""",2.0," Aug 20, 2015",Past,Anonymous Employee,,Neutral,Yes,Yes,Part-time,More than a year,Free food paid breaks lots of hours,Food sucks managers are terrible,Hire people that know whst there doing
"""Ayn Rand Burrito Koolaid Inc.""",1.0," Sep 9, 2015",Past,Cashier,"Portland, OR",Yes,Yes,Yes,Full-time,More than 3 years,The company tries really hard to be ethical about food. The are the single largest buyer of grass fed pork in the world. They have creative marketing strategies and support gay rights. Free employee meals. Paid breaks.,"The company tries to inspire really hard according to its ""Atlas Shrugged"" philosophy. Almost all of the people that advanced really fast at the company were ex criminals that were favorited by our 'restauraunter' who is like a glorified general manager, who was also an ex criminal. They loved giving people second chances; but fired me because i was a student and not someone with a ""story"" as they liked to call it. Though we were told to repeat and memorize what makes a ""top performer"" which is the thing to be when always at chipotle. A top performer is influenced by their circumstances to achieve the knowledge of high standards and with these high standards you become empowered and influence those around you. This certainly did not apply when half of the managers would show up stoned and or drunk to work. I apparently received ""spiritual guidance"" from a district manager aka a 'patch leader' and that my path really included following my boss' orders. This was borderline cult creepy. I worked for as long as i did because i worked on campus where i went to school and took 14 credits a term with a baby on the way and used public transportation; other than all the ludicrous surrounding the burritos, the job was simple and convenient to get to. Despite the fact that i had received a raise, had a child, and graduated all the while i worked there... I was fired and not given a reason. Through the grapevine i heard our boss got docked for being a ""low performer"" and to save her butt she vocalized that she was sick of having students work there. Two weeks later all the students were dropped, including me who only got dropped because i had expressed interest in using chipotle's new tuition reimbursement program to continue my education. They only really like to hire people who want to compete with others to be managers, the turnaround at my store was insanely high, i saw new faces every week. The culture is corrupt, the pay is minimum wage, the tips on a good day are l5 dollars, and everyone is expected to comply with this rigid culture and be a ""top performer"" which leads to ego wars, needless competition, and everyone's own interpretation about the rules and conduct.","Don't expect criminals to have high standards, and do background checks before you let an entire posse promote all their little friends to places of authority. The progressive image of chipotle does not support these practices as high standards. and if people knew they were biting into a burrito that had 600 mg of sodium and that made employees thirsty for right wing agendas for Ayn Rand kool-aid, they would leave in a heartbeat or lack thereof."
"""Crew""",3.0," Aug 20, 2015",Past,OHIO,"Medina, OH",Yes,Yes,Neutral,Full-time,More than 3 years,The establishment is alright. Didn't proceed to the interview for some personal reason. I'm not driving so I just decided to look for closer one.,The staffs weren't really customer oriented.,
"""Change my life and the people is amazing""",5.0," Aug 5, 2015",Current,Service Manager,"Orlando, FL",No,Yes,Neutral,Full-time,More than 3 years,You always enjoy yor work and have a great opportunitity to promote to Manager,"A lot District manager don't know what they do, so the can fired you for stuped thinks",Work hard and learn about the company
"""CULTure""",3.0," Aug 18, 2015",Past,SERVICE MANAGER APR,"Dallas, TX",No,No,Neutral,,More than a year,The food is great and there is a a lot of good oppurtunities. Lots of training and experienced to be had and room for growth,Scheduling wasn't always great. Keeping a good staff was nearly impossible. Way too much focus on people culture and not enough on good workers/ work ethic,People can tell you nice things about chipotles vision but if they arent good workers dont keep them around
"""KMIT""",1.0," Sep 9, 2015",Past,Front Desk Agent,"Madison, WI",Yes,Yes,Yes,Part-time,Less than a year,Nothing is positive at chipotle. You learn how to take criticism and sweat for minimum wage.,Everything. They try to maximize productivity to the extreme. Most of the time it's like a gray area of weither or not it is legal.,"You work at a fast food restaurant, you are not a culinary god? Stop saying that you care about your employees and act like you care about them. They work in unsafe conditions for hours and all they get is ""slightly"" above minimum wage in hopes of someday making 10.50 an hour as a kitchen manager. Step outside the ""culture"" and realize it's not a normal or even acceptable work environment."
"""good company""",4.0," Aug 3, 2015",Past,Line Worker,"Bowling Green, KY",Yes,Yes,Neutral,Full-time,,great atmosphere free food while working.,you either start in front of house or back of house and i was in front of house,na
"""Manager""",3.0," Aug 18, 2015",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,Less than a year,Great opportunities for advancement. Great food.,LONG hours and very exhausting. You have to be in high gear constantly and by the end of the shift you have nothing left for friends and family.,
"""Hate It""",1.0," Sep 8, 2015",Past,Anonymous Employee,,Yes,Neutral,Yes,Part-time,More than a year,Free food was the best.,"Short breaks, long hours. Managers play favortism.",Take your employees into consideration.
"""not bad""",4.0," Jul 27, 2015",Past,Anonymous Employee,"Las Vegas, NV",Yes,Yes,Yes,Part-time,,Nice coworkers<br>Cool managers<br>Eat for free<br>Not that long shifts<br>Good for students<br>good part time job,taking out the trash<br>literally always doing something<br>never independent work<br>managers eye always on you,Keep making burritos as good as they can get because they sure are good.
"""Tight crew with managers who don't gear your schedule toward success.""",2.0," Aug 16, 2015",Past,Crew Member,"Homewood, IL",No,Neutral,Yes,Part-time,Less than a year,Get $10 an hour as crew<br>Positive atmosphere for the most part<br>4 managers<br>Can move up easily and quickly,Hours are not flexible whatsoever<br>Managers don't work together to give you a clear cut schedule<br>Not for you if you don't pick up on things rapidly<br>Too many interviews<br>Interviews are extremely lengthy and boring,Communicate<br>Communicate<br>Communicate
"""Working at chipotle was sucky everyday having to work with an inconsistent team that would be off track all the time.""",2.0," Aug 16, 2015",Past,Anonymous Employee,,No,No,Neutral,Part-time,,- Great benefits<br>- There wasn't much Pros at chipotle,Almost everything was a con.,Get on track and tell other crew members to do the same.
"""Really great company, bad store""",2.0," Aug 16, 2015",Past,Anonymous Employee,"Pineville, NC",No,No,Neutral,Full-time,More than a year,"great pay, fast paced, some employees were nice, nice customers","building falling apart, made communication",GET A BETTER GM who actually cares and wants to be there.
"""Chipotle""",3.0," Aug 15, 2015",Past,Crew/Kitchen Manager,"Boca Raton, FL",Yes,Yes,Yes,Part-time,,free food. quick promotions. it is a fun environment to work in if you do not mind working long hours.,work you to much. on your feet for long hour . breaks are rare. expect to much from you,you should appreciate your employees more. make sure they feel appreciated.
"""Cashier""",3.0," Aug 16, 2015",Past,Anonymous Employee,"Seattle, WA",No,No,Neutral,Part-time,,-One free employee meal if you eat in<br>-Fast pace<br>- One take out (50% off),-Managers treat staff like dogs<br>-Use newbies to clean kitchen after hours<br>-Backstabbing from managers,-Be kind to workers; remember who you are
"""Great First Job.""",4.0," Jul 31, 2015",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than a year,-50% off lunch when you're not working<br>-Great staff<br>-High energy<br>-Rush and business keeps you on your feet<br>-Benefits (ask this in your interview),-Rush means you'll work hungry sometimes,
"""Not a good summer job.""",3.0," Aug 13, 2015",Past,Cashier and Crew Member,"Harrisburg, PA",Yes,Neutral,Yes,Part-time,Less than a year,Reward system such as speed goals and gift cards encourages top performance from employees.,They told me their policy was that you could not request off in the summer. They expected you to be available anytime any day.,Be more flexible.
"""great job for right person""",4.0," Jul 27, 2015",Current,Kitchen Manager In Training,"Charleston, SC",Yes,Yes,Neutral,Full-time,Less than a year,"Great hours, free food, opportunities for advancement really easily and as much as you want or don't want, cool free shirts, job experience if you want to advance culinarily .","Hard, hard work. High expec rations. You have to be social with co-workers to do well.",
"""Chipotle""",5.0," Jul 29, 2015",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,,Chipotle has Great people to work with,Chipotle is a fast past working environment,
"""Experience at Chipotle""",5.0," Jul 30, 2015",Current,Take Out Specialist,"Santa Rosa, CA",No,No,Yes,Full-time,More than a year,I absolutely love working with a GM who is down to earth and truly cares about her employees and the restaurant. I am excited to go to work and am eager to learn new things on a regular basis because I know I have a team that will support me and help me grow.,"You have your occasional rude customer, but you learn to work with them.",
"""Line""",1.0," Sep 4, 2015",Past,Line Worker,,Yes,Neutral,Neutral,Full-time,Less than a year,"Personally speaking: The food was the best aspect of this job! :) ...the benefits are nice too, if you actually are able to enroll in them. However, I know a lot of people enjoy how easy it is to move up within the company.","Everything! I had no background in food/food services, and I shared this information with them. And I feel I did not received proper training. (The person who taught me to fry chips, was fired a few days after I began, for doing things incorrectly. And no one cared enough to reteach me). The crew/managers constantly talked about one another, and I felt there was an extreme lack of communication between management to management and management to crew. I was so dissatisfied with the experience I decided to quit and right after my shift, I was let go for time expectations. I feel the work is too demanding for such little pay, and theres no real job security. (I was let go without any warning/write ups/coaching/etc). Ps... I am not the only person to feel this way. Many other crew members, who had recently started around the time I started, had quit and/or gotten fired.","Take the time to train your crew properly. Listen to their concerns and take their advice. Communicate with everyone, to ensure everyone is learning/being told the same things. Ensure everyone is reaching for the same goals."
"""Cashier/Line""",4.0," Jul 29, 2015",Current,Line Server/Cashier,"Brooklyn, NY",Yes,Yes,Yes,Part-time,More than a year,"money is a little better than most places, can be fun sometimes, good if you can multitask well","very busy, still do not get paid enough, overworked",
"""Great culture, fun company! Can be stressful at times.""",4.0," Jul 30, 2015",Current,Take Out Specialist,"Sacramento, CA",Yes,Yes,Yes,Full-time,Less than a year,"-Free food on break<br>-50% off the clock<br>-Paid Breaks! ( Including lunch breaks)<br>-Fun employees, managers.<br>-You can get promoted easy if you show that you want it.<br>-Pretty simple, self-explanatory duties.<br>-Awesome benefits!!!!!!!!!!!!",-Can be VERY busy<br>-Really have to be on your stuff!<br>-Sometimes chaotic.<br>-Customers can be annoying,
"""A great place to work - most of the time!""",3.0," Aug 12, 2015",Past,Crew Member,"Denton, TX",Yes,No,Neutral,Full-time,Less than a year,"Chipotle almost always promotes from within, and, while I have heard differing reports from people from other stores, they were usually pretty good at providing raises to their staff based on merit and time worked there. They also will give plenty of hours if you want them - I was full-time within a month and trained to open 3 separate stations within a few more months. Plus free food when working and 50% discount when you're off!","Base pay is a bit lacking and your tips are pathetic (usually between $1 to $2 on an opening shift). Management often cut our breaks short - the rational being that they pay for your breaks, so they can end them whenever they want (hint: this isn't true or even legal on a full-time workload in my state). My store in general seemed very mismanaged; the entire upper-level team was replaced a couple times within 6 months.",Just be fair to your employees and respect them more. It's a great work environment in almost every other way.
"""Pretty Cool""",5.0," Jul 29, 2015",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,It's a place that if you love to work fast paced and get a free meal too. They only hire the people who possess the goals that they want to have while working there.,Long hours that you may have to stand and you could potentially miss a break because of the long lines. I don't think it's a place to work at if you have to go to school and work at the same time.,
"""interview questions""",5.0," Jul 29, 2015",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than a year,make money and save up your money .,every thing jobs is hard to do it,
"""Great learning experience""",5.0," Jul 27, 2015",Past,Cashier,"Boca Raton, FL",No,No,Yes,Part-time,,Learned how to speak to customers &amp; work in a very fast moving environment.,sometimes it can be hectic but overall its an amazing place to work,
"""Needs new management""",2.0," Aug 11, 2015",Past,Cashier,"Tigard, OR",Yes,Neutral,Yes,Part-time,More than 3 years,The people<br>Tips<br>Nothing other than that,lack of training<br>No top performers<br>low wages<br>Just overall bad,Close down the Washington Greens Chipotle in Oregon for a few days to properly train and clean.
"""Crew member""",2.0," Aug 11, 2015",Current,Anonymous Employee,,No,No,Neutral,Part-time,,I haven't actually stay the job yet but I already love working there just reading the employees handbook and all the research I have done either for the interview or just to learn about the company has made me love the company more and more,The only thing I didn't like was the way the my job site handled the hiring process. So I went into the first interview and it went really well they said they wanted to see me for a second interview. In which I was asked the same questions and then told that I was hired and that I was to expect a call on the following Friday. When the day finally arrive I don't get any phone calls from them. So I thought maybe three just super busy. I should wait for the weekend. Still no call so finally in Tuesday two weeks later I decided to give fhem a call. I was told that the supervisor had to look me up in the system and they would get right back to me. But still no phone call so then finally I decided that something most have halppened and i didn't get the job. Which was kind of a dispointment but I was ok. Then out of no where I get this e-mail from them saying I had to make a Workday account. Of course in didn't know what it was or what it meant so I has reall hesitant to make an account or rather sigh into my account. So I called and long story sort (kinda) I ended up getting the job.,Make sure that your employer understand how the hiring process works after they get a job or the interviewer know who the hiring process works so there no confusion and embarrassment from anyone.
